;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8261;GBspaventosamente.csv;Gutenberg; Silvio Pellico;Rafaella;1853.0;1851-1900;prosa letteraria;"[', e divoravano cadaveri insepolti, o sentendoli al fiato sotterra li disseppellivano per cibarsene, ed inseguivano spaventosamente i vivi; sicchè bisognò alfine dar loro la caccia, ed a poco a poco distruggerli come bestie feroci.']";;;
8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;['col, gli occhi spaventosamente fuor del punto, la faccia disperata, i denti che battevano insieme dal terrore, ella grid:   non toccatemi.'];;;
8311;BibItTarchetti1.txt;BibIt;Ugo Iginio Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;"['tutto ciò mi pareva allora assai puerile; pure ho pensato soventi a queste cose, anche in anni nei quali aveva già conosciuto più positivamente e più spaventosamente la vita, e ho dovuto sempre esclamare:   felici coloro che amarono a questo modo!']";;;
8313;LLBarrili5.txt;Liber Liber;Anton Giulio Barrili;L'olmo e l'edera;1869.0;1851-1900;prosa letteraria;['vero tutto ci,  spaventosamente vero!'];;;
8314;li0477.txt;CLiGS Ro;Iginio Ugo Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;"['tutto ciò mi pareva allora assai puerile; pure ho pensato soventi a queste cose, anche in anni nei quali aveva già conosciuto piú positivamente e piú spaventosamente la vita, e ho dovuto sempre esclamare:   felici coloro che amarono a questo modo!']";;;
8315;li0166.txt;CLiGS Ro;Giuseppe Garibaldi;Cantoni il volontario;1870.0;1851-1900;prosa letteraria;['quivi un contadino che si affaticava a traversare la folla con un somarello scarico per guadagnar la campagna fu sequestrato, ed alle acclamazioni universali il gesuita avvelenatore fu inforcato sul discendente di mida, che esaltato dal chiasso della moltitudine si accinse a ragliare spaventosamente ad edificazione e divertimento massimo dei monelli, che per compire l opera regalavano il prete con tomatesi, radici, torsi di cavoli e sonorissimi fischi.'];;;
8315;li0166.txt;CLiGS Ro;Giuseppe Garibaldi;Cantoni il volontario;1870.0;1851-1900;prosa letteraria;['veramente il fuoco progrediva spaventosamente tra il legname delle vecchie gallerie, e lo scroscio delle superiori cadendo in tizzoni sopra le inferiori già infuocate, con immenso fracasso faceva un finimondo.'];;;
8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;['il lieve greco che aveva spinto la clelia fuori dal porto a due miglia calmò intieramente: nuvoloni neri neri si avanzavano da libeccio e, peggio di tutto, il mare da quella via veniva ingrossando spaventosamente: il vento dapprima temuto dai nostri argonauti era ora ardentemente desiderato poiché lo yacht privo di quell aiuto si vedeva spinto verso la spiaggia senza governo ed in pericolo quasi certo di dare contro alla costa e perdersi.'];;;
8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;['ma altre forze nemiche, numerose e fresche accorsero a sostenere e raccogliere i fuggenti pigliando posizione dietro le alture del monte s. giuliano, donde spaventosamente facevan fuoco colle loro armi superiori.'];;;
8415;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il destino: romanzo;1872.0;1851-1900;prosa letteraria;"['da lattanzio; sentì scorrersi un gelo per le ossa, le s  increspò per ribrezzo la pelle; alla catena si alternavano spaventosamente gli anelli ora di peccato, ora di delitto: di volgere gli occhi in su per soccorso non correva più tempo, nè lo avrebbe']";;;
8416;GBspaventosamente.csv;Gutenberg; Alessandro Manzoni;I promessi sposi. Opere di Alessando Manzoni, vol. 1;1872.0;1851-1900;prosa letteraria;[', con gran sospensione, come avesse a finire quella burrasca, lontano però dal sospettar che dovesse cader così spaventosamente addosso a lui.'];;;
