;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
8678;GBterribilmente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;[', sebbene inclinasse ai monarchiani, trovò una formola di conciliazione che non accontentò i partiti rivali, ma che, terribilmente oscura e tutta composta di frasi contradditorie, pose il mistero e l  incomprensibile come elementi essenziali della'];terribilmente oscuro;den Monarchisten zugeneigt, fand er eine Versöhnungsformel, die die rivalisierenden Parteien nicht zufriedenstellte, die aber, schrecklich dunkel und aus widersprüchlichen Phrasen zusammengesetzt, das Mysterium und das Unverständliche als wesentliche Elemente einsetzte;BU;
8687;GBterribilmente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;['suo fondatore, era la pura espressione di un sentimento morale, l  aspirazione ad un ideale di giustizia, una protesta terribilmente eloquente nella sua mitezza contro le iniquità del mondo.'];terribilmente eloquente;sein Gründer war der reine Ausdruck eines moralischen Gefühls, das Streben nach einem Ideal der Gerechtigkeit, ein schrecklich beredter Protest in seiner Sanftmut gegen die Missetaten der Welt;NU;
8689;GBterribilmente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;['ma come è drammatico ed interessante l  incontro, nella scuola di atene, di questi due giovani, destinati a diventare terribilmente nemici l  uno dell  altro, e che già si spiavano a vicenda con quell  acume che dà l  odio istintivo.'];diventare terribilmente;aber wie dramatisch und interessant ist das Treffen dieser beiden jungen Leute in der Schule von Athen, die dazu bestimmt sind, einander auf schreckliche Art Feinde zu werden, und die sich bereits mit diesem Scharfsinn ausspionieren, der instinktiv Hass erzeugt;CU;
8700;Personali.V.12.Testo.txt;MIDIA;Guido Gozzano / Amalia Guglielminetti;Lettere d’amore;1903.0;1901-1950;personale;['approvo anchio, per quanto una colazione fatta insieme renda terribilmente borghese linizio di unamicizia come la nostra.'];terribilmente borghese;Ich stimme auch zu, obwohl ein gemeinsames Frühstück den Beginn einer Freundschaft wie der unseren schrecklich spießig macht;NU;
8734;LLPirandello2.txt;Liber Liber;Luigi Pirandello;Il fu Mattia Pascal;1904.0;1901-1950;prosa letteraria;['oreste rimarrebbe terribilmente sconcertato da quel buco nel cielo.'];terribilmente sconcertato;Oreste wäre furchtbar verwirrt über dieses Loch im Himmel;NU;
8826;GBterribilmente.csv;Gutenberg; Luigi Arnaldo Vassallo;Ciarle e macchiette;1905.0;1901-1950;prosa letteraria;['a un tratto, la contessa si fece terribilmente pallida.'];terribilmente pallido;plötzlich wurde die Gräfin furchtbar bleich;BU;
8827;GBterribilmente.csv;Gutenberg; Luigi Arnaldo Vassallo;Ciarle e macchiette;1905.0;1901-1950;prosa letteraria;['i capricci, sopra le tendine, sono di forma indescrivibile, e fanno terribilmente a pugni con tutto il resto.'];fare terribilmente a pugni;die Launen über den Vorhängen sind von unbeschreiblicher Gestalt und stehen furchtbar im Widerspruch zu allem anderen;NU;
8832;GBterribilmente.csv;Gutenberg; Giuseppe Giacosa;Novelle e paesi valdostani;1905.0;1901-1950;prosa letteraria;['aggrappati a sporgenze rocciose quasi impercettibili, sospesi a mezza costa con un abisso sul capo ed uno ai piedi, terribilmente pittoreschi, dei quali l  estate nasconde il miserrimo aspetto e l  inverno rivela l  esistenza sempre pericolante.'];terribilmente pittoresco;sich an fast unmerkliche Felsvorsprünge klammernd, auf halber Höhe aufgehängt, mit einem Abgrund über dem Kopf und einem am Fuß, schrecklich malerisch, dessen Sommer das Elend verbirgt und der Winter das immer unsichere Dasein offenbart;NU;
8880;GBterribilmente.csv;Gutenberg; Edmondo De Amicis;Alle porte d''Italia;1907.0;1901-1950;prosa letteraria;['ma doveva essere terribilmente tragica la condizione del forte negli ultimi giorni, quando già erano stati costretti a levar via la più parte dei'];terribilmente tragico;aber der Zustand des Starken muss in den letzten Tagen furchtbar tragisch gewesen sein, als sie bereits gezwungen waren, das meiste wegzunehmen;BU;
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;['con un impeto irresistibile sandokan s era gettato in mezzo alle file sciabolandole terribilmente e scompaginandole.'];sciabolare terribilmente;Mit einem unwiderstehlichen Schwung hatte sich Sandokan mitten in die Reihen gestürzt, sie fürchterlich aufgeschlitzt und zerrissen.;CU;
9027;GBterribilmente.csv;Gutenberg; Edmondo De Amicis;Marocco;1907.0;1901-1950;prosa letteraria;['cavalieri, condotti dal vecchio abu ben gileli, il caid delle cinquanta bastonate, il quale mi lancia uno sguardo terribilmente espressivo rasente la schiena.'];terribilmente espressivo;Reiter, angeführt vom alten Abu Ben Gileli, dem Caid der fünfzig Schläge, der mir einen schrecklich ausdrucksvollen Blick auf meinen Rücken zuwirft;BU;
9042;GBterribilmente.csv;Gutenberg; Edmondo De Amicis;Alle porte d''Italia;1907.0;1901-1950;prosa letteraria;['ma la signorina lo rimbeccava terribilmente .'];rimbeccare terribilmente;aber die junge Dame schimpfte ihn fürchterlich;BU;!
9043;GBterribilmente.csv;Gutenberg; Edmondo De Amicis;Alle porte d''Italia;1907.0;1901-1950;prosa letteraria;"['si servivano anche terribilmente delle pietre, facendole franare dai monti; pochi uomini robusti, appoggiando le spalle e i gomiti alla roccia, e']";servirsi terribilmente;Sie benutzten auch die Steine auf ????fürchterliche Weise, was dazu führte, dass sie von den Bergen einstürzten…;CU;
9088;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. II;1908.0;1901-1950;prosa letteraria;['e il suo pensiero tornava a loris, terribilmente bello in quella caverna, quando le aveva gettato addosso topine, e più terribilmente cattivo dopo con quel sorriso di'];terribilmente bello;und seine Gedanken gingen zurück zu Loris, schrecklich schön in dieser Höhle, als er sie mit Mäusen beworfen hatte, und schrecklich böse hinterher mit diesem Lächeln…;BU;
