;doc;source;author;title;year;period;text_type;sentence
6241;BibItVolpi1.txt;BibIt;Gaetano Volpi;Varie avvertenze utili/e necessarie agli amatori de' buoni libri;1756.0;1751-1800;espositivo;"['de  primi era certo signore in un luogo d italia, che com io vidi con nausea ed isdegno, facea stendere il grano in mezzo della libreria lasciatagli da  suoi antenati; incitamento a  topi dopo d aver gustato quel solito lor cibo, di voler assaggiare anche i libri; i quali erano orribilmente coperti di polvere e di tele di ragni.', 'come si raccoglie da  numeri scritti nelle facciate  restò orribilmente difformato e tronco.', 'i poco apprezzatori de  libri mescolano fra essi, vasetti d olj, e d unguenti, i quali poscia facilmente versandosi, gl imbrattano orribilmente, e irremediabilmente.']"
6242;LLVolpi1.txt;Liber Liber;Gaetano Volpi;Del furore d'aver libri;1756.0;1751-1800;espositivo;"['de  primi era certo signore in un luogo d italia, che com io vidi con nausea ed isdegno, facea stendere il grano in mezzo della libreria lasciatagli da  suoi antenati; incitamento a  topi dopo d aver gustato quel solito lor cibo, di voler assaggiare anche i libri; i quali erano orribilmente coperti di polvere e di tele di ragni.', 'bisogna per avvertire di farle giudiciosamente, e di argomenti e materie per quanto si possa consimili, e sopra tutto di non miscere sacra profanis, come m  accaduto spesso di vedere: avvertendo ancora che la forma degli opuscoli sia eguale, affinch nel tagliar i volumi con essi formati, non restino alcuni di loro co  margini malamente mozzati; com  succeduto ad un rarissimo esemplare delle cose latine del sanazzaro stampate in foglietto, che per averlo il possessore voluto unire ad opuscoli in    come si raccoglie da  numeri scritti nelle facciate  rest orribilmente difformato e tronco.', 'i poco apprezzatori de  libri mescolano fra essi, vasetti d olj, e d unguenti, i quali poscia facilmente versandosi, gl imbrattano orribilmente, e irremediabilmente.']"
6271;BibItMonti8.txt;BibIt;Vincenzo Monti;Per la passione di Nostro Signore;1779.0;1751-1800;poesia;"['il disordin la segue, e tuttavolta vie più spaventa la città; che cade nel proprio sangue orribilmente involta.']"
6274;BibItMonti1.txt;BibIt;Vincenzo Monti;Cristo raffigurato nel sasso;1780.0;1751-1800;poesia;['di nero sangue e fetido carname vedi gli altari a lui fumanti alzarse: corre la tabe a rivi, e d atro ossame van le foreste orribilmente sparse: stanno confusi fra l immonde glebe i teschi de  potenti e della plebe.']
6286;BibItMonti2.txt;BibIt;Vincenzo Monti;Il pellegrino apostolico;1782.0;1751-1800;poesia;['la gran catena da cui pende avvinto scoteasi tutta, e alzarsi orribilmente parea la polve del creato estinto.']
6287;ita000003.txt;ItaDraCor;Vittorio Alfieri;Antigione;1783.0;1751-1800;teatro;['d infami aspre ritorte orribilmente avvinta, m è tolto.']
6288;ita000012.txt;ItaDraCor;Vittorio Alfieri;Oreste;1783.0;1751-1800;teatro;['dal punto in poi, quel sanguinoso spettro e giorno e notte orribilmente sempre sugli occhi stammi.', 'io non dirò, come ei di sangue il piano rigasse, orribilmente strascinato.']
6295;ita000019.txt;ItaDraCor;Vittorio Alfieri;Virginia;1783.0;1751-1800;teatro;['orribilmente tutti d ira avvampar, fremendo, i brandi tutti snudare, e addosso a lui scagliarsi, quindi è un sol punto.']
6301;ita000009.txt;ItaDraCor;Vittorio Alfieri;Maria Stuarda;1788.0;1751-1800;teatro;"['fuggi, per non più mai contaminar col tuo piè questa terra: va ; fuggi; ricovra là, di viltade in grembo; agli idolatri tuoi pari appresso: obbrobriosi giorni, quivi favola al mondo, onta del trono, scherno di tutti, orribilmente vivi.']"
6308;ita000011.txt;ItaDraCor;Vittorio Alfieri;Mirra;1789.0;1751-1800;teatro;['gli occhi alla immagine tremanti alzar mi attento, e da  suoi piè mi parve con minacciosi sguardi me cacciasse, orribilmente di furore accesa, la diva stessa.', 'ai detti, agli atti, ai guardi, anco ai sospiri, par che la invasi orribilmente alcuna sovrumana possanza.']
7111;GBorribilmente.csv;Gutenberg; Edward Gibbon;Storia della decadenza e rovina dell''impero romano, volume 03;1793.0;1751-1800;prosa letteraria;['non è nostro intendimento di seguire l  autore, che come abbiamo osservato ha orribilmente sconvolto l  ordine de   tempi, e facendo calcoli poco esatti, e poco veridici, trova or qua or là lunghi intervalli di']
7522;BibItMonti4.txt;BibIt;Vincenzo Monti;La musogonia;1797.0;1751-1800;poesia;"['poi di lampi una livida mistura, e di tuoni vi cola e di paura; e di furie e di fiamme e di fracasso che tutto introna orribilmente il mondo.']"
7526;LLAcerbi1.txt;Liber Liber;Giuseppe Acerbi;Viaggio al Capo Nord fatto l'anno 1799;1799.0;1751-1800;espositivo;['in estate le zenzale, ed altri insetti volanti infestano orribilmente i laponi montanari.']
