;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
8695;GBorribilmente.csv;Gutenberg; Antonio Vismara;Storia delle cinque gloriose giornate di Milano nel 1848;1902.0;1901-1950;prosa letteraria;['grida strazianti e invocazioni di pietà: entrativi i cittadini, vi arrestarono cinque croati, e vi rinvennero orribilmente mutilati una donna e tre suoi adolescenti figli.'];orribilmente mutilato;Herzzerreißende Schreie und Bitten um Gnade: Die Bürger traten ein, verhafteten fünf Kroaten und fanden eine Frau und drei ihrer Kinder im Teenageralter schrecklich verstümmelt vor.;CU;
8701;GBorribilmente.csv;Gutenberg; Enrico Panzacchi;Morti e viventi;1903.0;1901-1950;prosa letteraria;['_  la cena finisce all  improvviso con un episodio orribilmente tragico.'];orribilmente tragico;Das Abendessen endet plötzlich mit einer schrecklich tragischen Episode;NU;
8717;diacorisOriano1.txt;DiaCoris;Alfredo Oriano;Oro/ incenso e mirra;1904.0;1901-1950;prosa letteraria;['egli nascosto sotto le coperte cercava di farsi più piccolo per non essere veduto , tendendo l   orecchio ad ogni accento con una angoscia di curiosità che gli acuiva orribilmente le sofferenze della fame .'];acuivare orribilmente;er versteckte sich unter der Decke und versuchte, sich kleiner zu machen, um nicht gesehen zu werden, und lauschte jedem Akzent mit einer Angst vor Neugier, die das Leiden des Hungers schrecklich verschlimmerte;BU;
8734;LLPirandello2.txt;Liber Liber;Luigi Pirandello;Il fu Mattia Pascal;1904.0;1901-1950;prosa letteraria;['trassi dalla tasca un fazzoletto e lo stesi su quel misero volto orribilmente sfigurato.'];orribilmente sfigurato;Ich nahm ein Taschentuch aus meiner Tasche und breitete es über das elende, entsetzlich entstellte Gesicht;BU;
8734;LLPirandello2.txt;Liber Liber;Luigi Pirandello;Il fu Mattia Pascal;1904.0;1901-1950;prosa letteraria;['il ricordo di ciò che avevo fatto in quei giorni al bujo me la offuscò orribilmente.'];offuscare orribilmente;die Erinnerung an das, was ich damals im Dunkeln getan hatte, trübte es fürchterlich;BU;
8747;LLDeledda1.txt;Liber Liber;Grazia Deledda;Cenere;1904.0;1901-1950;prosa letteraria;['dice che è orribilmente dimagrato.'];orribilmente dimagrato;er sagt, dass er schrecklich dünn ist;NU;
8747;LLDeledda1.txt;Liber Liber;Grazia Deledda;Cenere;1904.0;1901-1950;prosa letteraria;['ricordò che invano aveva ardentemente desiderato che margherita entrasse nella sala e notasse il suo costumino nuovo, di fustagno gialliccio, duro come la pelle del diavolo, e ricordò che la signora cicita carboni, baciandolo e battendogli lievemente la mano inanellata sulla testina orribilmente rasa, aveva detto al mugnaio:   ah, compare, perché l avete conciato così?'];orribilmente raso;er erinnerte sich, dass er sich vergeblich danach gesehnt hatte, dass Margherita den Raum betreten und sein neues Kostüm bemerken würde, aus gelblichem Moleskin, hart wie die Haut des Teufels, und erinnerte sich an Signora Cicita Carboni, die ihn geküsst und mit seiner beringten Hand leicht auf seinen schrecklich rasierten Kopf geklopft hatte...;NU;
8747;LLDeledda1.txt;Liber Liber;Grazia Deledda;Cenere;1904.0;1901-1950;prosa letteraria;['allontanati, che puzzi orribilmente.'];puzzare orribilmente;geh' weg, du stinkst fürchterlich!;NU;
8747;LLDeledda1.txt;Liber Liber;Grazia Deledda;Cenere;1904.0;1901-1950;prosa letteraria;['quando rientrai la trovai in un lago di sangue: era ancora viva, con gli occhi spalancati orribilmente.'];spalancato orribilmente;Als ich zurückkam, fand ich sie in einer Blutlache: Sie lebte noch, ihre Augen waren fürchterlich weit aufgerissen;BU;
8854;GBorribilmente.csv;Gutenberg; Giuseppe Giacosa;Storia vecchia: Commedia in due atti;1905.0;1901-1950;prosa letteraria;['mi annoio orribilmente .'];annoiarsi orribilmente;Ich langweile mich schrecklich;NU;
9024;GBorribilmente.csv;Gutenberg; Edmondo De Amicis;Alle porte d''Italia;1907.0;1901-1950;prosa letteraria;['accanto a me i quattro principi morti, diritti stecchiti nelle loro armature corrose, coi visi consunti e con gli occhi orribilmente infossati sotto le fronti che mostravan l  osso nudo.'];orribilmente infossato;neben mir die vier toten Prinzen, steif und gerade in ihren korrodierten Rüstungen, mit abgenutzten Gesichtern und Augen, die schrecklich unter ihren Stirnen eingesunken waren, die nackte Knochen zeigten;CU;
9054;GBorribilmente.csv;Gutenberg; Anton Giulio Barrili;I rossi e i neri, vol. 2;1907.0;1901-1950;prosa letteraria;"['orribilmente sconvolto, giunse sulla strada; la testa gli ardeva; gli rombavano gli orecchi; non vedeva, non udiva; l  istinto lo']";orribilmente sconvolto;"schrecklich verärgert erreichte er die Straße; sein Kopf brannte; seine Ohren dröhnten; sah nicht, hörte nicht…";NU;
