;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;!
8253;GBterribilmente.csv;Gutenberg; Cesare Balbo; conte,Della storia d''Italia dalle origini fino ai nostri giorni, sommario. v. 1;1852.0;1851-1900;prosa letteraria;['ma ciò posto ed eccettuato francamente, ed eccettuate forse alcune vendette personali terribilmente fatte con sue parole immortali, dante e il poema suo restan pure l  uomo e il libro incontrastabilmente piú virili ed'];terribilmente fatto;...und abgesehen vielleicht von einigen persönlichen Rachefeldzügen, die mit seinen unsterblichen Worten schrecklich angerichtet wurden, bleiben Dante und sein Gedicht…;CU;
8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;"['uno mostra con aria addolorata la guancia, che poco innanzi era sanissima, terribilmente gonfiata per un mal di denti; un altro si è slogata una congiuntura e la mostra orribilmente contratta; un terzo alza l indice della mano destra fasciato di cenci, e dice d esserselo tagliato fino all osso; altri infine sostengono audacemente d aver già consegnato il componimento e che deve essere smarrito, e vanno attorno cercandolo.']";terribilmente gonfiato;"einer zeigt mit schmerzerfüllter Miene seine Wange, die kurz zuvor noch sehr gesund war, von Zahnschmerzen fürchterlich geschwollen; ein anderer hat eine Situation verrenkt und zeigt sie schrecklich zusammengezogen…";CU;
8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;['ma la mia gioia fu presto scemata, vedendo l aspetto di fantasio terribilmente cambiato.'];terribilmente cambiato;aber meine Freude wurde bald geringer, als ich sah, wie sich der Aspekt der Fantasie schrecklich veränderte;BU;
8272;GBterribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 2;1858.0;1851-1900;prosa letteraria;['i delitti che avevano disonorato il procelloso tribunato di shaftesbury, erano stati terribilmente espiati.'];terribilmente espiato;die Verbrechen, die das stürmische Shaftesbury-Tribunal entehrt hatten, waren schrecklich gesühnt worden;CU;
8280;li1099.txt;CLiGS Ro;Carlo Righetti;La scapigliatura e il 6 febbrajo;1861.0;1851-1900;prosa letteraria;['il governo austriaco infatti ne fu terribilmente colpito.'];terribilmente colpito;die österreichische Regierung war in der Tat furchtbar betroffen;NU;
8280;li1099.txt;CLiGS Ro;Carlo Righetti;La scapigliatura e il 6 febbrajo;1861.0;1851-1900;prosa letteraria;['il dal poggio a quest intimazione si sentí montar il sangue alla testa, e alzando terribilmente la voce, corse all insulto:   siete un miserabile furfante,   gridò   questo vi valga come uno schiaffo sul viso.'];alzare terribilemente;von der Anhöhe bis zu dieser Andeutung spürte er das Blut in seinen Kopf steigen, und mit furchtbar lauter Stimme rannte er zur Beleidigung: Du bist ein elender Schurke, schrie er, das ist dir ein Schlag ins Gesicht wert;BU;
8290;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['ah, sembrava un uomo tanto ammodo quando sarina lo sposò, e finì col truffare il babbo terribilmente , sicchè fu costretto a ipotecare la sua casa di via alta, e da ultimo a cederla!'];truffare terribilmente;ach, er schien so ein höflicher Mann zu sein, als Sarina ihn heiratete, und endete damit, dass er seinen Vater so schrecklich betrog, dass er gezwungen war, sein Haus in der Via Alta zu verpfänden und es schließlich zu verkaufen;BU;
8291;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['al contrario, ne ho sofferto terribilmente !'];soffrire terribilmente;im Gegenteil, ich litt schrecklich darunter;BU;
8292;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['ella si rizzò, prese risoluta un foglio, e scrisse con una febbrile rapidità che mostrava come profondamente, e quasi terribilmente , fosse scossa in tutto il suo essere, anima e corpo, e si piegasse, vacillasse sotto il peso delle speranze, delle ansie'];terribilmente scosso;sie stand auf, nahm entschlossen ein Blatt Papier und schrieb mit einer fieberhaften Schnelligkeit, die zeigte, wie tief und fast fürchterlich sie in ihrem ganzen Wesen, mit Leib und Seele, erschüttert und gebeugt, schwankend war unter der Last der Hoffnungen, Ängste;CU;
8293;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['oh, è terribilmente egoista.'];terribilmente egoista;Oh, er ist schrecklich egoistisch;NU;
