;doc;source;author;title;year;period;text_type;sentence
48027;IWterribilmente.csv;itWaC;http://www.db.avvenire.it/pls/avvenire/ne_cn_avvenire.c_leggi_articolo?id=552295&id_pubblicazione=2;http://www.db.avvenire.it/pls/avvenire/ne_cn_avvenire.c_leggi_articolo?id=552295&id_pubblicazione=2;2006.0;2001-2021;web;['i grandi giornali italiani, purtroppo, lo hanno affrontato con argomentazioni terribilmente vecchie  .']
48029;IWterribilmente.csv;itWaC;http://afrik.blog.excite.it/permalink/265605;http://afrik.blog.excite.it/permalink/265605;2006.0;2001-2021;web;['e qundo toccano i diritti umani io mi arrabbio terribilmente .']
48049;IWterribilmente.csv;itWaC;http://www.rockol.it/recensione.php?idrecensione=2557;http://www.rockol.it/recensione.php?idrecensione=2557;2006.0;2001-2021;web;['suona piuttosto come un disco di rock ben suonato e ben scritto, ma terribilmente già sentito e terribilmente demodé.']
48244;IWterribilmente.csv;itWaC;http://www.dsmilano.it/html/Pressroom/2003/11/rep3_1111_biagi-si-poteva-salvare.htm;http://www.dsmilano.it/html/Pressroom/2003/11/rep3_1111_biagi-si-poteva-salvare.htm;2006.0;2001-2021;web;['biagi scrive a maroni un messaggio amareggiato e terribilmente profetico:   qualora dovesse accadermi qualcosa desidero si sappia che avevo informato inutilmente le autorità  .']
48246;IWterribilmente.csv;itWaC;http://www.fantasymagazine.it/forum/viewtopic.php?t=4397&view=next&sid=08e30797f1ac8f39904a9d37e08d1003;http://www.fantasymagazine.it/forum/viewtopic.php?t=4397&view=next&sid=08e30797f1ac8f39904a9d37e08d1003;2006.0;2001-2021;web;['berserk sta diventando terribilmente convenzionale.']
48251;IWterribilmente.csv;itWaC;http://www.edt.it/estratti/estratto.php?id=8870636119;http://www.edt.it/estratti/estratto.php?id=8870636119;2006.0;2001-2021;web;['dovevamo sfregarci ben bene anche le mani, perché puzzavano terribilmente .']
48255;IWterribilmente.csv;itWaC;http://www.stpauls.it/club3_03/0112c3/0112c335.htm;http://www.stpauls.it/club3_03/0112c3/0112c335.htm;2006.0;2001-2021;web;['potrebbe essere un   occasione per ripensare a tutto questo, perché ha messo in luce il fatto che i sistemi globali sono terribilmente vulnerabili.']
48270;IWspaventosamente.csv;itWaC;http://www.caritasroma.it/settori/sepm/MessaggiPacePapa/1977.asp;http://www.caritasroma.it/settori/sepm/MessaggiPacePapa/1977.asp;2006.0;2001-2021;web;['hiroshima è documento terribilmente eloquente e paradigma spaventosamente profetico a questo riguardo.']
48302;IWterribilmente.csv;itWaC;http://meteolive.leonardo.it/meteo-notizia.php?id=7576&x=1;http://meteolive.leonardo.it/meteo-notizia.php?id=7576&x=1;2006.0;2001-2021;web;['pertanto l   aria che raggiunse l   estremo nord dell   europa non poteva che essere terribilmente fredda.']
48319;IWterribilmente.csv;itWaC;http://web.tiscali.it/poesiavita/romanzi/rhpositivo.htm;http://web.tiscali.it/poesiavita/romanzi/rhpositivo.htm;2006.0;2001-2021;web;['terribilmente innamorato?']
