;;doc;source;author;title;year;period;text_type;sentence
1700-1750;15;ita000099.txt;ItaDraCor;Annibale Marchese;Il Crispo;1715.0;1700-1750;teatro;['ira nel cor tutti i miei spirti accoglie, ed al mal sì mi rende ardita e presta, ma qualor sola stommi, ahi lassa, in quali spaventevoli aspetti a me davanti appaion tutti i miei misfatti, e come orribilmente al cor freme, e rimbomba la ria memoria di cotante colpe!', 'oh com in un sol giorno in tanti eccessi involger mi potei: qual folta schiera di falli appare al mio pensiero, e dice: siam noi tuoi figli, o come orribilmente l?']
1700-1750;17;BibItDiversi4.txt;BibIt;diversi;Rime degli Arcadi / tomo secondo;1716.0;1700-1750;poesia;['ii ma scolorirsi in un baleno io vidi la bella immago, e  l sacro allor squarciarse, e l aere intorno, e  l suolo e  l mar turbarse, ed ululare orribilmente i lidi.']
1700-1750;19;BibItDiversi6.txt;BibIt;diversi;Rime degli Arcadi / tomo terzo;1716.0;1700-1750;poesia;['qual uom, che chiuso in cupa, orrida, e mesta prigion sospiri e notte e giorno invano la libertà, traendo egro e mal sano l afflitto piede in quella parte e in questa, se fiamma ardente a la magion molesta s apprende, onde ne caggia parte al piano, gode in mirando qual novello e strano varco al suo scampo il ciel pietoso appresta, così il santo levita, or che letale vampa rimira orribilmente intorno strugger la spoglia sua caduca e frale, gioisce, e benedice il lieto giorno, in cui, franta la sua prigion mortale, può far l anima bella al ciel ritorno.', 'pur di catena e morte ti fé temer d eugenio il brando solo, d austriaco sdegno orribilmente acceso, e il periglio compreso cessar ti fé dall ostinato orgoglio, e servi al duce in campo, a carlo in soglio.']
1700-1750;20;BibItDiversi5.txt;BibIt;diversi;Rime degli Arcadi / tomo sesto;1717.0;1700-1750;poesia;['trema il suol, trema il mare, e mare il suolo sembra, tutto ondeggiando orribilmente.', 'se poi nero, spumoso, ribolle orribilmente il pelago sdegnoso, sbattendo alto fremente flutti e turbini in guerra, allor mi salvo in terra: e dal timor mi affida la stabil terra e fida.']
1700-1750;21;BibItDiversi3.txt;BibIt;diversi;Rime degli Arcadi / tomo quinto;1717.0;1700-1750;poesia;['finché di ber sazio non già, ma stanco, e scorsi traballando intorno tutti e i monti e i piani, e già di forze manco, orribilmente da i vinosi flutti urtato e vinto, il suol presse col fianco, e così disse tra gorgogli e rutti.', 'sovra il mio capo orribilmente fischia la spada ultrice, d atro sangue lorda.']
1700-1750;22;BibItDiversi2.txt;BibIt;diversi;Rime degli Arcadi / tomo quarto;1717.0;1700-1750;poesia;"['questa incantar poteo pluto sul soglio, e raddolcir lo sdegno ne  mostri inferni orribilmente affisso; ma l ordine prefisso ruppe l amante sposo, e la consorte trovò tra le sue braccia un altra morte.', 'torbido nembo e fiera atra tempesta orribilmente intorno a lui fremea, mentre dal cielo in un sol passo in questa così lontana terra egli scendea.']"
1700-1750;39;Teatro.IV.28.Testo.txt;MIDIA;Annibale Marchese;L’Ermenegildo;1729.0;1700-1750;teatro;"['coro  sovente di lass l ira celeste orribilmente armata, aspri flagelli vibra a mortai rubelli.', 'di tai mosse cagion fu che l tuo forte recaredo in battaglia avea sconfitto dal suo lato i rubei, cui tal successo fe tripartir le a me contrarie schiere, che ben giunsero in tempo, allor che i vinti fur entro il muro, e l vincitor con essi, cui si fe incontro per l opposta porta, chi meco avea pugnato; e quei, che intorno girar le mura, d improvviso assalto percosser chi le porte entrar contende, recaredo seguendo, e su uno stante giugner e superarli: a lor soccorso andai veloce, e pur tardi vi giunsi, talch d armi, e di sangue, e membra sparte trovai coverto orribilmente il piano, e i nemici in sicuro; e accrebbe il lutto il tuo gran figlio, ch  fra lor rimaso, o estinto, o prigioniere.']"
1700-1750;47;LLColletta1.txt;Liber Liber;Pietro Colletta;Storia del reame di Napoli;1734.0;1700-1750;espositivo;"['molti de  legionari calabresi erano spenti; gli altri, feriti n bramosi di vivere; cosicch il prete toscani di cosenza, capo del presidio, reggendosi a fatica perch in pi parti trafitto, avvicinasi alla polveriera, ed invocando dio e la libert, getta il fuoco nella polvere, e ad uno istante con iscoppio e scroscio terribile muoiono quanti erano tra quelle mura oppressi dalle rovine, o lanciati in aria, o percossi da sassi: nemici, amici, orribilmente consorti.']"
1700-1750;980;GBorribilmente.csv;Gutenberg; Pietro Giannone;Istoria civile del Regno di Napoli, v. 4;1747.0;1700-1750;prosa letteraria;['ezelino intanto co   capitani di federico prese pavia e trivigi con altri luoghi di lombardia e della marca, usando orribilmente in tutti que   luoghi crudelissime stragi contro i nemici di cesare, scacciando ancora dalle lor chiese giordano prior']
1700-1750;4627;GBorribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 7: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;['scossa orribilmente dal tremuoto, ii,   .']
