;doc;source;author;title;year;period;text_type;sentence
8262;GBorribilmente.csv;Gutenberg; J. B. (Jean Baptiste) Bouvier;Venere ed Imene al tribunale della penitenza: manuale dei confessori;1853.0;1851-1900;prosa letteraria;"['bisogna comportarsi santamente; e in questo caso il sacerdote si comporta verso il santo dei santi non santamente ma orribilmente .']"
8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;"['uno mostra con aria addolorata la guancia, che poco innanzi era sanissima, terribilmente gonfiata per un mal di denti; un altro si è slogata una congiuntura e la mostra orribilmente contratta; un terzo alza l indice della mano destra fasciato di cenci, e dice d esserselo tagliato fino all osso; altri infine sostengono audacemente d aver già consegnato il componimento e che deve essere smarrito, e vanno attorno cercandolo.', 'avevo la testa orribilmente intronata e provavo nella faccia un sentimento di bruciore e di tensione insopportabile.']"
8266;BibItCarducci5.txt;BibIt;Giosue Carducci;Juvenilia;1857.0;1851-1900;poesia;"['e disse come d un grido  gli splendea dal capo di pallade la luce  isbigottì le dardane caterve; impauriti ricalcitraro orribili i cavalli, ed annitrendo sbaragliati i cocchi rapivano a le mura: e qual con csanto fiume di giove ei contrastasse; e come dopo la biga, a le difese mura intorno, egli il divin corpo di ettorre tre volte orribilmente istrascicasse entro l iliaca polve.', 'del mio novello tempo il vigile tedio atre angosciose l ore misura, e le future cose, tanto ch a imaginar disdegno e tremo, m affrontan mute orribilmente in vista.', 'a quel suon, di novelli fremiti il ciel d italia ecco rintrona: come nube che tuona e nel rovente folgore scoscende, lungo clamor da l alpi al mar si stende vapor di sangue orribilmente sale da la fatal novara, e l aere invade e fuma atro su  l mare e vela il monte: ecco rabbia di guerra alta immortale, e strepitar d incalzantisi spade, e a le vendette correre piemonte.', 'itali esempi f r nel barberino venti giovani contro a francia tutta rotti di venti colpi il seno invitto: son nostri rosaroll, il morosino, poerio, e su la mole arsa e distrutta medici solo orribilmente dritto.', 'già fuoco e ferro orribilmente in volta percuote i lurchi come turbin fosse, e l antica vendetta entro la molta strage l ali battea torbide e rosse.']"
8273;GBorribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 2;1858.0;1851-1900;prosa letteraria;['intanto la folla di fuori cresceva sempre, e orribilmente tempestava.']
8276;GBorribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 1;1858.0;1851-1900;prosa letteraria;['alla vista del corpo di dangerfield, orribilmente lacerato dalle fustigazioni, molti inchinavano a credere che la sua morte fosse stata massimamente, se non al tutto,']
8279;LLGhislanzoni1.txt;Liber Liber;Antonio Ghislanzoni;Abrakadabra;1860.0;1851-1900;prosa letteraria;['quarantamila cadaveri o frammenti di carne umana, orribilmente pestati, confusi, ingrommati di caligine e di sangue?', 'i dottori dell epoca vi rispondono:   la eccezione si è fatta per ristabilire e generalizzare il matrimonio, orribilmente screditato nel secolo precedente.']
8282;Poesia.V.7.bis.Testo.txt;MIDIA;Aleardo Aleardi;Canti;1864.0;1851-1900;poesia;"['allor dal core,     schiuso a la colpa, la codarda emerse     religion dei pallidi terrori;     commosso allora, come cosa viva,     l albero del peccato orribilmente     su terre ed acque dilat le fronde     con la sua velenosa ombra inseguendo     dei caini le fughe.']"
8286;GBorribilmente.csv;Gutenberg; Massimo d'' Azeglio;Ettore Fieramosca: ossia, La disfida di Barletta;1865.0;1851-1900;prosa letteraria;['l  assassino cogli occhi orribilmente spalancati sulla madre crollò il capo ed accennò che farebbe, ed essa levandosi dal collo una catena che aveva sotto la']
8297;Poesia.V.17.Testo.txt;MIDIA;Giosue Carducci;Levia gravia;1868.0;1851-1900;poesia;"['viii per raccolta in morte di ricca e bella signora sparsa la faccia bianca de la fuggente vita, con la persona stanca abbandonarsi a l ultima partita lei che sposa virginea pur or ne arrise di beato amor; sentir com angue gelida e questa e quella mano; gli occhi mirar che vitrei orribilmente nuotano nel vano forse in cerca de i pargoli a lo sguardo nascosi ahi non al cor, de i pargoli che muti intorno al letto stanno rigando i volti arguti di lacrimette, ed il perch non sanno, e come sogno i fervidi baci materni penseranno un d; e intorno l ombra stendersi de la morte odiosa, mentre pur su  l cadavere si lamenta con dio la madre annosa ch abbia a compor ne l ultima pace chi a premer gli occhi suoi nutr; deh quanta pita!']"
8298;GBorribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;"Racconti umoristici: In cerca di morte; Re per ventiquattrore";1868.0;1851-1900;prosa letteraria;['parevano fatti per afferrare, per mordere, per lacerare la carne viva, palpitante  davano ai loro visi un  apparenza orribilmente ferina.']
8299;GBorribilmente.csv;Gutenberg; Giovanni Cairoli;Villa Glori - Ricordi ed aneddoti dell''autunno 1867;1868.0;1851-1900;prosa letteraria;['pallido in viso e macchiato orribilmente di sangue che era colato dalla testa fasciata con un cencio e coperta da un cappellaccio.']
8302;GBorribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;"Racconti umoristici: In cerca di morte; Re per ventiquattrore";1868.0;1851-1900;prosa letteraria;"['maestà reale, ma era molto se non attentavano essi medesimi alla mia vita; quando intesi che il tumulto popolare andava orribilmente crescendo, e che i denti bianchi erano già penetrati in alcune sale della reggia, deliberai di cercare salvezza nella']"
8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;['orsacchio l afferr per le due braccia, la tir violentemente a s, la strinse riluttante al suo petto, le pose innanzi al volto il suo orribilmente contratto, e con accento crudelissimo le disse spiccato:   s. .']
8305;GBorribilmente.csv;Gutenberg; Giovanni Cairoli;Villa Glori - Ricordi ed aneddoti dell''autunno 1867;1868.0;1851-1900;prosa letteraria;['due giorni interi spasimò orribilmente , aggomitolandosi e distendendosi, contraendo convulsivamente i muscoli del volto ad un terribile sorriso']
8306;GBorribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;"Racconti umoristici: In cerca di morte; Re per ventiquattrore";1868.0;1851-1900;prosa letteraria;['quei denti lunghi, affilati, bianchi, orribilmente bianchi, scoperti fino alla radice dal labbro un po   rovesciato, acuminati e curvi verso la punta come i canini,']
8307;GBorribilmente.csv;Gutenberg; Giovanni Cairoli;Villa Glori - Ricordi ed aneddoti dell''autunno 1867;1868.0;1851-1900;prosa letteraria;['lo credevo bianco, mentr  era orribilmente insanguinato.']
