;;doc;source;author;title;year;period;text_type;sentence
1700-1750;21;BibItDiversi3.txt;BibIt;diversi;Rime degli Arcadi / tomo quinto;1717.0;1700-1750;poesia;['così, poich ebbe tracannato a iosa cento gran  giare e cento, tombolando di qua, di là, senza trovar mai posa, sdraiato alfine e di sé tutto in bando, ei s addormì, coll ampia abbominosa bocca terribilmente rimugghiando.']
1700-1750;4617;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 7: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;['dai quali con uno strattagemma sono terribilmente sconfitti,   .']
1700-1750;4618;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 2: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;[', per testimonianza di teofane      , da un secondo furioso tremuoto, che nel dì    di novembre per un  ora continua sì terribilmente scosse la città d  antiochia, che tutto quanto era rimasto in piedi nel precedente anno    , e quanto era stato']
1700-1750;4619;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 7: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;"['giocarono in questo conflitto terribilmente le artiglierie d  ambe le parti, facendo squarci grandi nelle schiere opposte; le sciabole e baionette non istettero']"
1700-1750;4620;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 4: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;"['ma si trovò terribilmente gonfio esso mare con pioggia e tuoni; lo stesso tevere era in tempesta; però convenne prendere terra.']"
1700-1750;4621;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 1: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;[', dov  egli passava, lasciava la micidial infezione secondo il suo costume, di modo che cominciò a sentirsi terribilmente anche in roma.']
1700-1750;4622;GBterribilmente.csv;Gutenberg; Lodovico Antonio Muratori;Annali d''Italia, vol. 1: dal principio dell''era volgare sino all''anno 1750;1749.0;1700-1750;prosa letteraria;['abbiamo da san girolamo che terribilmente infierì nella soria e cicilia la carestia colla mortalità d  innumerabili persone.']
1751-1800;6268;BibItParini1.txt;BibIt;Giuseppe Parini;Odi;1777.0;1751-1800;poesia;"['ma il tuono e il vento e l onda terribilmente agita tutti e batte; nè le vele contratte nè da la doppia sponda il forte remigar, l urto che abbonda vince nè frena.']"
1751-1800;6277;LLVerri2.txt;Liber Liber;Pietro Verri;Discorsi del conte Pietro Verri dell'Instituto delle Scienze di Bologna;1781.0;1751-1800;espositivo;['l industria viene corrosa nella sua radice, e la nazione non ricever mai spinta ad accrescere l annua riproduzione, perch fischia il flagello delle leggi terribilmente sul capo degli uomini riproduttori avviliti e scoraggiti.']
1751-1800;7107;GBterribilmente.csv;Gutenberg; Edward Gibbon;Storia della decadenza e rovina dell''impero romano, volume 13;1793.0;1751-1800;prosa letteraria;['i cristiani accusati dell  incendio di roma sotto nerone e terribilmente puniti, t. iii, p.   .']
1751-1800;7108;GBterribilmente.csv;Gutenberg; Edward Gibbon;Storia della decadenza e rovina dell''impero romano, volume 03;1793.0;1751-1800;prosa letteraria;[', e conseguenze che da ciò derivarono    incendio di roma sotto il regno di nerone    i cristiani accusati di esso e terribilmente puniti    passo di tacito a tale proposito    osservazioni sovra questo passo    i cristiani ed i giudei egualmente']
1751-1800;7109;GBterribilmente.csv;Gutenberg; Edward Gibbon;Storia della decadenza e rovina dell''impero romano, volume 09;1793.0;1751-1800;prosa letteraria;['si trovarono però terribilmente angustiati dai passaggi che traggono da eginardo, da teofane e dagli antichi annali laureshamenses, fuldenses,']
1751-1800;7110;GBterribilmente.csv;Gutenberg; Edward Gibbon;Storia della decadenza e rovina dell''impero romano, volume 10;1793.0;1751-1800;prosa letteraria;['dettò poscia questa lettera terribilmente laconica:  in nome del dio misericordioso, haroun al rashid comandante dei fedeli, a niceforo, cane romano.']
1751-1800;7521;ita000067.txt;ItaDraCor;Ugo Foscolo;Edippo;1796.0;1751-1800;teatro;['oh sì, per questo, ten scongiuro io forte, largo mio pianto, per giocasta madre, per l orror di que  giorni onde mi lasci terribilmente in preda, per l amore d antigon tua.']
1751-1800;7526;LLAcerbi1.txt;Liber Liber;Giuseppe Acerbi;Viaggio al Capo Nord fatto l'anno 1799;1799.0;1751-1800;espositivo;['giace poi sopra un suolo terribilmente sterile, coperto di piccole roccie simili al basalto.']
1801-1850;7530;BibItFoscolo4.txt;BibIt;Ugo Foscolo;Degli effetti della fame;1801.0;1801-1850;espositivo;['un lampo non iscopre più terribilmente all occhio del viandante il precipizio sul quale le tenebre della notte lo aveano condotto.']
1801-1850;7570;BibItFoscolo20.txt;BibIt;Ugo Foscolo;Epistolario (1812-1813);1812.0;1801-1850;personale;"['assentirei all uso delle elastiche se non vi fosse l autorità del pajola nostro il quale raccomanda in visceribus quelle di cera; e d altra parte i francesi, che soli ne fanno, hanno il vizio di dar loro la forma conica, quando a me che ho il malanno oltre il collo quasi della vescica bisognerebbero affatto cilindriche, e poi non ne trovo di grosse; e quelle che ho sperimentate mi fanno gran male, perchè si dibattono con la loro troppa elasticità nel canale, ed irritano terribilmente.', 'finalmente, dati questi caratteri e queste passioni, l autore deve nel breve spazio dal principio alla fine della sua azione far nascere tali accidenti che, quantunque naturalissimi e quasi minimi, ridestino quelle antiche passioni, le facciano operare fortemente in que  forti caratteri, e sciolgano pietosamente e terribilmente l azione.']"
1801-1850;7574;BibItFoscolo21.txt;BibIt;Ugo Foscolo;Epistolario (1814-1815);1814.0;1801-1850;personale;"['se tu sapessi come oltre l infermità, e la povertà, e l esilio imminente, e l incertezza della mia vita, anche il pericolo quotidiano di mio fratello che ora è all esercito sul mincio mi affligge; come lo stato di mia madre mi amareggia terribilmente l anima e me la prostra!']"
